순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
1,9788996991342,15058512,미움받을 용기,"13,410원",740원,기시미 이치로/고가 후미타케,인플루엔셜,"프로이트, 융과 어깨를 나란히 하며 ‘심리학의 3대 거장’으로 일컬어지고 있는 알프레드 아들러의 심리학을 쉽고 재미있게 구성했다. 인간은 변할 수 있고, 누구나 행복해질 수 있다. 단 그러기 위해서는 '용기'가 필요하다. 자유로워질 용기, 평범해질 용기, 행복해질 용기, 그리고 미움받을 용기.",1,국내도서-인문
2,9788994120966,15281236,지적 대화를 위한 넓고 얕은 지식,"14,400원",800원,채사장,한빛비즈,"신자유주의가 뭔지, 보수와 진보가 무엇인지, 왜 사회문제가 일어나는지도 몰라서 지식수준이 들통 날까 봐 대화 자리가 두려운 당신에게 오늘도 당신은 수시로 사람들과 만난다. 담배 한 대를 피우는 막간의 시간이든, 점심을 먹는 조금 긴 시간이든, 상사와 외근을 나가야 하는 긴 차 안이든, 대화는 필요하다. 어떤 대화로 연명해왔는가? 쉽게는 어제 뭐 봤니 부터 시작해서 잘 나가는 연예인 이야기를 거쳐 상사 뒷담화로 이어지는 대화의 패턴이 반복되다 보면, 상대가 누구든 그 관계조차 시시해지는 기분이 든다. 그러다 가끔 색다른 상대에 의해 한 차원 높은 지식을 요하는 대화가 시작되면 금방 들통 나는 지식의 한계에 부끄러움마저 느낄 것이다. 현실의 필수적인 지식을 외면한 채, TV 오락과 연예 스캔들, 상사 뒷담화에만 열을 올리는 대화는 허무하다.",1,국내도서-인문
3,9791185392080,15660097,하버드 새벽 4시 반,"12,600원",700원,웨이슈잉/이정은,라이스메이커,"하버드가 청춘에게 알려주는 성공학 10강 1636년, 미 동부 매사추세츠 주에 ‘글을 읽을 줄 아는 성직자를 양성하기 위한’ 소박한 목적으로 하버드가 설립되었다. 하버드는 이후 미 동부 8개 명문을 일컫는 아이비리그 중 하나가 되었으며, 현재는 자타가 공인하는 세계 최고의 대학으로 꼽힌다. 현재까지 하버드 졸업생 가운데에서 8명의 미국 대통령, 75명의 노벨상 수상자가 배출되었으며, 작가나 연구진 등의 성과까지 살펴보면 하버드가 세계 최고로 불리는 것에 저절로 고개가 끄덕여진다. 하버드에서는 도대체 어떤 사람들이 무엇을 배우기에 이곳을 졸업한 후에도 그토록 두각을 나타내는 걸까? 『하버드 새벽 4시 반』은 이러한 하버드의 특별함이 어디에서 나오는지를 분석하면서, 불투명한 미래를 걱정하며 방황하는 우리 청년들에게 하버드 식 성공법을 전수한다. 이 책의 저자는 하버드와 그 학생들의 특별함을 10가지로 정리했다.",1,국내도서-자기계발
4,9788996947400,16764915,그림의 힘,"16,920원",940원,김선현,8.0(에이트 포인트),"보는 순간, 내 몸은 느낀다 보는 만큼, 일상이 살아난다 『그림의 힘』은 즐겁게 그림을 감상하며 누구나 그 힘으로 자신을 변화시킬 수 있는 시간을 선사한다. 책에는 삶에서 가장 중요한 다섯 가지 영역 - 일, 사람 관계, 돈, 시간, 나 자신 - 을 향상시키는 그림들이 실려 있다. 이 부문 최고 권위자이자 세계미술치료학회장이기도 한 저자는, 이 그림들을 보고 느끼다보면 일의 만족을 높이고, 사람 관계에서 오는 어려움을 덜 수 있다고 말한다. 그림은 돈과 시간에 대해서도 한결 더 편안한 마음을 지니게 한다. 스스로 인지하지 못하는 스트레스를 짚어주는 것은 물론이다. 독자는 아무 페이지나 펴서 자신의 마음과 상황에 따라 그림을 고르고 책을 읽어 가면 된다. 명화를 손수 변형하는 작업이나, 스스로를 더 잘 알아보기 위한 명화 테스트도 마련되어 있다. 무엇보다도 이 책이 인상적인 것은 색칠을 하거나 많은 글을 읽지 않아도 마음이 편안해질 수 있다는 점이다.",1,국내도서-자기계발
5,9791156755371,16811932,1그램의 용기,"12,600원",700원,한비야,푸른숲,"한비야, 6년만의 신작! 망설이는 마음에 보내는 작은 응원 긴급구호 현장에서, 오지여행길에서, 강의실과 도서관에서, 백두대간 길에서 평생 가슴 뛰는 삶, 쓸모 있는 삶이란 어떠한가를 온몸으로 증명해온 한비야. 누구보다 치열하게, 열정적으로 살아온 그녀가 지금, 인생 후반전을 준비하기 위해 잠시 숨을 고르고 있다. 살다 보면 누구나 수차례 삶의 환승역에 서게 된다. 커리어가 바뀌거나 끝날 때, 결혼을 하거나 아이가 태어날 때, 아이를 다 키우고 뭔가 새로운 일에 도전하고 싶을 때다. 하지만 모든 것이 불확실한 오늘날에는 많은 이들이 자신의 환승역 앞에서 다음 한 발짝을 내딛기를 두려워한다. 두려움, 외로움, 불안과는 거리가 멀어 보이는, 언제나 무소의 뿔처럼 당당해 보이는 한비야는 어떨까? 그녀 역시 우리처럼 끊임없이 길을 잃고, 헤매고, 길을 찾기 위해 분투했다고 고백한다.",2,국내도서-에세이
6,9788994120997,15867542,지적 대화를 위한 넓고 얕은 지식 : 현실너머 편,"14,400원",800원,채사장,한빛비즈,"누적 다운로드 150만, 철학 분야 1위, 팟빵 종합 10위 화제의 팟캐스트 [지대넓얕] 진행자 채사장의 두 번째 책 《지적 대화를 위한 넓고 얕은 지식》 현실 세계 편(역사, 경제, 정치, 사회, 윤리 편)에 대한 반응은 폭발적이었다. 출간 2주 만에 베스트셀러에 등극했다. 언론 매체에서 빵빵 터트려준 것도 아니고, 저자가 유명해서도 아니다. 인문학의 진정한 입문서에 대한 독자들의 목마름이 마침내 해갈되어서다. 그간 인문교양 도서들은 꼭 알아야 할 지식을 다이제스트로 나열해놓았다. 먹을 땐 맛있지만 먹고 돌아서면 허한 지식의 성찬이었다. 제 것으로 소화되지 않는 지식은 갈증만 불러왔다. 《지적 대화를 위한 넓고 얕은 지식》은 외워야 하는 숫자도, 인문학 고전이라는 어려운 책 설명도, 유명인의 히스토리도 없다. 지금의 세계를 만들어낸 지식의 흐름이 한 편의 천일야화처럼 재미있게 펼쳐진다. 방대한 영역의 지식이 하나로 연결되는 카타르시스에 독자들은 열광했다.",1,국내도서-인문
7,9788960867680,15969320,대화의 신,"11,520원",640원,래리 킹/강서일,위즈덤하우스,"50여 년간 5만 명을 인터뷰한 대화의 신, 래리 킹! ‘토크계의 전설’에게 배우는 대화법의 바이블! 1957년 방송에 데뷔한 이후 지금까지 5만 명 이상을 인터뷰해왔고, 자기 이름을 건 대담 프로그램을 25년간 진행하여 기네스북에 오른 사람이 있다. 바로 ‘토크계의 전설’, ‘대화의 신’이라 불리는 래리 킹이다. 그는 게스트의 진심을 이끌어내는 탁월한 능력으로, 오바마 대통령, 빌 게이츠, 레이디 가가 등 셀 수 없이 많은 유명 인사들이 솔직한 이야기를 아낌없이 털어놓게 만들었다. 또한 래리 킹은 최근 국내의 한 대기업 계열 금융회사의 TV 광고에 출연하여, 특유의 날카로운 입담과 여유 넘치는 모습으로 그 명성을 재확인시켜주기도 했다. 《대화의 신》은 세계 최고의 앵커 래리 킹이 전하는 대화법의 바이블이다. 그는 그동안 수많은 사람들을 인터뷰하며 도출해낸 성공적인 말하기 노하우를 이 책에 고스란히 담았다.",1,국내도서-자기계발
8,9788965702450,16996111,경영의 모험,"14,400원",800원,존 브룩스/이충호/이동기,쌤앤파커스,"빌 게이츠가 자신의 홈페이지와 《월스트리트저널》을 통해 “내가 읽은 최고의 경영서”라고 추천하면서 43년 만에 다시 출간된 경영서의 고전. 《경영의 모험》은 시간이 오래 흘러도 변치 않는 기업의 본질과 기업의 생태계 안에서 치열하게 살아가는 인간의 본성을 깊이 들여다보는 책으로, 미국의 주요 언론은 이 책을 “경영서의 고전(A Business Classic)”이라 평가하며 “기업의 리더는 물론, 기업에 종사하는 사람이라면 누구나 반드시 읽어야 할 고전”이라고 썼다.",1,국내도서-경제 경영
9,9791185502076,14155992,비밀의 정원 Secret Garden,"10,800원",600원,조해너 배스포드,클,"아날로그적인 재미와 일상과 거리 두기로 전 세계에 열풍을 일으켰던 스테디셀러 컬러링북! 『비밀의 정원』 한국어판 출간 5주년 기념 특별 리커버 에디션 출간! 컬러링북이라는 말이 생소하던 2014년에 등장한 『비밀의 정원』은 전 세계 1300만, 우리나라 155만 독자가 선택할 만큼 놀라운 기세로 컬러링북 열풍을 불러일으켰다. 이 책은 컬러링북의 대명사이자, 새로운 취미를 탄생하게 한 책으로, 2014년 올해의 책으로 선정되었으며, 출간 이후 지금까지 전 연령을 아우르며 이제는 취미와 예술 분야의 스테디셀러로 자리하고 있다. 이 책 『비밀의 정원』이 한국어판 출간 5주년을 맞아, 특별 리커버 에디션을 선보인다. 전 세계 어디에서도 찾아볼 수 없는 아름다운 디자인의 표지에는 오직 우리나라 독자만을 위한 작가의 감사 인사와 친필 사인이 인쇄되었다. 본문은 초판과 같다.",1,국내도서-건강 취미
10,9788937834936,16886095,고양이 낸시,"13,500원",750원,엘렌 심,북폴리오,"보드랍고 풍성한 꼬리 새하얗고 북실한 털 남들보다 큰 키 낸시가 고양이라면 이렇게 귀여울 리가 없어. 북쪽에서 온 쥐가 분명해! 쥐들이 모여 사는 평화로운 마을. 어느 날 밤, 담요에 싸여 집 앞에 버려진 아기 고양이 낸시를 발견한 더거씨는 고민 끝에 낸시를 가족으로 받아들인다. 분홍색 리본 머리핀을 좋아하고 공놀이보다 공주님놀이를 더 좋아하고 친구들보다 큰 자신이 너무 뚱뚱한 것 아닐까 고민하는 섬세하고 마음씨 고운 고양이 낸시, 여동생을 지켜주고 싶은 든든한 오빠 지미, 바보스러울 만큼 정 많고 착한 마을의 쥐들, 그리고 저마다 개성이 넘치는 학교 친구들… 평범한 일상도 낸시와 함께라면 모든 것이 특별해진다! 『고양이 낸시』는 작가가 트위터에 소소하게 올렸던, 버려진 아기 고양이 낸시와 그런 낸시를 키우는 평범한 쥐 가족의 아주 특별한 이야기인 〈고양이 낸시〉를 단행본으로 엮은 것이다.",1,국내도서-만화/라이트노벨
