title,title2,rating,tags
모든 순간이 너였다,"반짝반짝 빛나던 우리의 밤을, 꿈을, 사랑을 이야기하다",8.9,"#남자친구,#SNS에세이,#감성,#드라마에소개된책,#새벽에읽기좋은책"
나의 영어 사춘기,대한민국 영포자들의 8주 영어 완전정복 프로젝트,9.4,"#TV방영,#누구나영어할수있다,#패턴으로말하기"
나는 나로 살기로 했다,냉담한 현실에서 어른살이를 위한 to do list,9.0,"#삶이고단할때,#일상을위로하다,#마음공부,#청춘,#심리학처방전,#명절홧병타파,#나답게살자,#잠시쉼표"
무례한 사람에게 웃으며 대처하는 법,,8.4,"#인간관계,#대화의기술,#일상을위로하다,#책끝을접다,#관계,#마음공부,#명절홧병타파"
주식투자 무작정 따라하기,주식에 빠지다,8.7,"#주식투자입문,#부자되는법,#퇴사하고싶을때"
해커스 토익 Reading,,9.0,"#너도나도보는토익기본서,#분철"
2018 전한길 한국사 4.0 실전동형 모의고사,,9.3,
트렌드 코리아 2018 (10주년 특별판),서울대 소비트렌드분석센터의 2018 전망,9.1,
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
말 그릇,비울수록 사람을 더 채우는,8.8,"#대화의기술,#책끝을접다,#말잘하는법,#관계"
슬픔을 공부하는 슬픔,,9.1,"#일상을위로하다,#아름다운문장,#심리학처방전"
"걷는 사람, 하정우",,8.9,"#연예인작가,#일상을위로하다,#책읽아웃,#김미경TV,#운동에세이,#배우의삶,#유튜브셀러"
2018 하반기 위포트 LG그룹 LG인적성검사 통합편,,9.2,
150년 하버드 글쓰기 비법,SNS부터 보고서까지 이 공식 하나면 끝,8.1,"#좋은글의비밀,#톱클래스의비밀,#어른공부법,#나도하버드생"
"결정, 흔들리지 않고 마음먹은 대로",그들에겐 이미 습관이 되어버린 결정에 관한 실전 수업,8.8,#생활습관
살인의 문 2,,8.8,
역시 내 청춘 러브코메디는 잘못됐다 12,,9.2,
하루 5분 엄마의 말습관,일상의 작은 언어에서 시작되는 아이의 놀라운 기적,9.7,"#자녀교육,#부모교육,#말투의심리학"
룬의 아이들 - 블러디드 1,,9.5,"#베스트셀러후속작,#빠져드는흡인력,#해외에서인기있는한국소설"
슬램덩크 신장재편판 10,해남대 부속 vs. 능남,9.7,"#전설의레전드,#스포츠물,#농구"
책 잘 읽는 방법,폼나게 재미나게 티나게 읽기,8.1,"#책읽아웃,#책덕후,#어른공부법"
슬램덩크 신장재편판 8,북산 vs. 해남대 부속 1,9.7,
배움을 돈으로 바꾸는 기술,부를 끌어당기는 부자들의 공부법,8.6,"#어른공부법,#부자되는법,#성공과성장"
썅년의 미학,,9.2,"#페미니즘,#팩트폭행인생조언"
한 권으로 읽는 디지털 혁명 4.0,"일의 미래, 블록체인, 플랫폼 경제, AI",9.3,
스님의 주례사,행복한 결혼생활을 위한 남녀 마음 이야기,8.8,#알쓸신잡
2019 한국이 열광할 세계 트렌드,노블푸드부터 패스트힐링까지,9.5,
"미안하지만, 오늘은 내 인생이 먼저예요",,9.6,"#일상을위로하다,#나혼자산다,#나답게살자"
나는 그것에 대해 아주 오랫동안 생각해,,8.9,"#긴여운,#짧은소설"
슬램덩크 신장재편판 9,북산 vs. 해남대 부속 2,9.6,"#전설의레전드,#스포츠물,#농구"
예뿍이의 종이구관,종이인형보다 더 재미있는 종이구체관절인형,9.6,"#인형놀이,#추억의놀이"
이기적 유전자 The Selfish Gene,,9.0,"#알쓸신잡,#교양쌓기,#빨간책방,#요즘책방:책읽어드립니다"
하워드 막스 투자와 마켓 사이클의 법칙,주식시장의 흐름을 꿰뚫어보는 단 하나의 투자 바이블,8.9,"#주식투자,#돈좀벌어보자,#경제전망"
거의 정반대의 행복,너를 만나 시작된 어쿠스틱 라이프,9.1,"#엄마와딸,#책읽아웃,#감동,#가족관계"
2019 선재국어 한 권으로 정리하는 마무리,,9.6,"#공단기,#공무원국어,#분철"
2019 이동기 핵심문법 100포인트 요약노트,9급·7급·경찰 공무원 대비,9.6,"#공단기,#이동기영어,#공무원영어,#분철"
2019 이동기 4주완성 핵심문법 700제 단원별 정리+실전문제,9급·7급·경찰 공무원 대비,9.5,"#공단기,#이동기영어,#공무원영어,#분철"
추리 천재 엉덩이 탐정 7,기이한 전망 여관 사건,9.5,"#사고력,#초등미스터리"
Go Go 카카오프렌즈 4,미국,9.7,"#라이언,#학습만화"
슬램덩크 신장재편판 7,북산 vs. 상양,9.8,"#전설의레전드,#스포츠물,#농구"
Re : 제로부터 시작하는 이세계 생활 14,,9.8,
시골 카페에서 경영을 찾다,일본의 작은 마을을 명소로 만든 사자 커피 브랜딩 이야기,8.7,"#카페창업,#브랜드가치,#일본마케팅,#일본,#경영수업"
도시는 무엇으로 사는가,도시를 보는 열다섯 가지 인문적 시선,8.9,"#알쓸신잡,#책을듣다"
내일은 실험왕 42,중력과 무중력,10.0,
"안녕, 우주",우연이라 하기엔 운명에 가까운 이야기,9.8,"#감동,#사회적약자,#뉴베리수상작 "
떨림과 울림,물리학자 김상욱이 바라본 우주와 세계 그리고 우리,8.9,"#교양쌓기,#알쓸신잡,#우주,#발견의기쁨,동네책방"
2018 하반기 위포트 GSAT 삼성직무적성검사 통합편,,9.8,
23번가의 기적,세상에 없던 아름다운 반란,8.5,
국어 교과서 작품 읽기 중1 세트,시/소설/수필,10.0,"#국어공부,#교과서수록작"
이 멋진 세계에 축복을! 12,여기사의 자장가,9.5,
부자언니 1억 만들기,부자언니 부자특강 + 부자언니 부자연습 + 부자언니 1억 만들기,9.2,
나도 아직 나를 모른다,“뇌과학과 임상심리학이 ‘부서진 마음’에게 전하는 말”,9.2,"#우울증,#나약해질때,#책읽아웃,#마음공부,#죽고싶을때,#심리학처방전,#명절홧병타파"
2018 하반기 해커스 GSAT 삼성직무적성검사 최신기출유형,,9.4,
매스커레이드 나이트,,9.0,#빠져드는흡인력
2018 손진숙 영어 실전동형 모의고사,,9.0,
