title,title2,rating,tags
3층 서기실의 암호,태영호 증언,9.2,"#핵,#북한이야기,#김정은"
고양이 1,,8.6,"#고양이소설,#상상력,#고양이"
나는 둔감하게 살기로 했다,초조해하지 않고 나답게 사는 법,8.7,"#대충살자,#인간관계,#나답게살자,#예민,#걱정없애기"
나는 나로 살기로 했다,냉담한 현실에서 어른살이를 위한 to do list,9.0,"#삶이고단할때,#일상을위로하다,#마음공부,#청춘,#심리학처방전,#명절홧병타파,#나답게살자,#잠시쉼표"
카밍 시그널 calming signals,세상에서 가장 아름다운 반려견의 몸짓 언어,8.6,"#반려견,#강아지,#댕댕이속마음파헤치기"
나미야 잡화점의 기적,,9.2,"#영화드라마원작,#책끝을접다,#상상력,#밀리언셀러,#새벽에읽기좋은책"
추리 천재 엉덩이 탐정 6,수상한 탐정 사무소 사건,9.6,"#사고력,#초등미스터리"
무례한 사람에게 웃으며 대처하는 법,,8.4,"#인간관계,#대화의기술,#일상을위로하다,#책끝을접다,#관계,#마음공부,#명절홧병타파"
설민석의 한국사 대모험 6,"역사 속 라이벌 편 - 설쌤과 황 대감, 화해 대작전!",9.3,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
체간 리셋 다이어트,"하루 5분, 2주 만에 핫바디 만드는 ‘모델 체간근’의 비밀",9.4,"#다이어트,#귀차니스트,#홈트"
엄마의 말하기 연습,화내지 않고 상처 주지 않고 진심을 전하는,9.3,"#자녀교육,#부모교육,#화내지않고아이키우기"
모든 순간이 너였다,"반짝반짝 빛나던 우리의 밤을, 꿈을, 사랑을 이야기하다",8.9,"#남자친구,#SNS에세이,#감성,#드라마에소개된책,#새벽에읽기좋은책"
지금 하지 않으면 언제 하겠는가,세계 최고 멘토들의 인생 수업,9.1,"#베스트셀러후속작,#선택과집중,#톱클래스의비밀,#성공하고싶다면,#오늘부터시작,#인생지침서,#김미경TV"
82년생 김지영,,8.8,"#책끝을접다,#국립중앙도서관사서추천,#아이돌셀러,#여성문학,#성차별,#해외에서인기있는한국소설,#역주행베스트셀러,#페미니즘,#명절홧병타파,#영화드라마원작"
언어의 온도,말과 글에는 나름의 따뜻함과 차가움이 있다,8.2,"#남자친구,#일상을위로하다,#밀리언셀러,#같이펀딩에나온책"
문재인의 운명 취임 1주년 기념 한정판 세트,,9.8,#남북통일
하이큐!! 30,,9.6,
0세부터 시작하는 감정조절 훈육법,언제 어떻게 시작해야 할지 고민인 부모를 위한 훈육 필독서,9.4,"#자녀교육,#감수성교육,#초등학교가기전에,#사회생활,#화내지않고아이키우기"
투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 매매사업자, 임대사업자까지 한 권으로 끝내는 세금 필독서",9.8,
착! 붙는 일본어 독학 첫걸음,하루 한 시간 한 달 완성,9.2,#일본어처음시작하세요?
딸은 엄마의 감정 쓰레기통이 아니다,가까울수록 상처를 주는 모녀관계 심리학,8.6,"#엄마와딸,#가족관계"
플랫폼 제국의 미래,"구글, 아마존, 페이스북, 애플 그리고 새로운 승자",9.0,"#승자기업,#글로벌기업,#성공하는기업,#CEO는누가되나,#실리콘밸리"
설민석의 한국사 대모험 2,,9.5,"#역사교육,#학습만화,#어린이역사책,#무료배송쿠폰도서"
명탐정 코난 94,,9.4,
해커스 토익 Listening LC,,9.0,"#너도나도보는토익기본서,#분철"
코스모스,특별판,9.2,"#교양쌓기,#알쓸신잡,#명강의,#우주,#멜로디책방"
교통망도 모르면서 부동산 투자를 한다고?,한 권으로 정리하는 돈되는 교통호재 A to Z,9.2,
부의 추월차선,부자들이 말해 주지 않는 진정한 부를 얻는 방법,8.6,"#톱클래스의비밀,#부자되는법,#억만장자"
91층 나무 집,,9.5,#베스트셀러후속작
보노보노의 인생상담,,8.8,"#귀염뽀짝캐릭터,#청춘"
파리의 아파트,,8.8,"#숲속의작은집,#빠져드는흡인력"
법륜 스님의 행복,행복해지고 싶지만 길을 몰라 헤매는 당신에게,9.3,"#삶의고통이크다면,#스님의한마디"
나는 하루 1시간 주식투자로 연봉 번다,반드시 수익 내는 3단계 주식투자 원칙,7.6,
좀비고등학교 코믹스 6,,8.8,
어디까지나 제 생각입니다,그들이 배운 미덕에 대한 불편함,8.7,"#SNS스타,#일상을위로하다,#SNS에세이"
같은 말도 듣기 좋게,만나면 기분 좋아지는 사람의 말하기 비밀,9.2,"#인간관계,#대화의기술"
설민석의 한국사 대모험 1,특명! 온달을 역사 천재로 만들어라!,9.6,"#학습만화,#역사교육,#어린이역사책,#무료배송쿠폰도서"
소년이 온다,,9.3,"#민주화운동,#빨간책방,#역사와개인,#문학으로보는역사,#한국근현대사,#해외에서인기있는한국소설,#문재인대통령이읽은책,#5.18민주화운동"
김영철·타일러의 진짜 미국식 영어,한마디를 해도 통하는,9.3,"#어른공부법,#기초는뗐어요,#분철"
