순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9788925563350;곰돌이 푸, 행복한 일은 매일 있어;곰돌이 푸 (원작);알에이치코리아;20180312;시/에세이;\12,000
2;9791162202913;모든 순간이 너였다;하태완;위즈덤하우스;20180216;시/에세이;\13,800
3;9788957369364;무례한 사람에게 웃으며 대처하는 법;정문정;가나출판사;20180108;시/에세이;\13,800
4;9788937473135;82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover);조남주;민음사;20161014;소설;\13,000
5;9791187119845;나는 나로 살기로 했다;김수현;마음의숲;20161128;시/에세이;\13,800
6;9791195522125;언어의 온도(3주년 150만부 기념 에디션);이기주;말글터;20160819;시/에세이;\13,800
7;9791196394509;죽고 싶지만 떡볶이는 먹고 싶어;백세희;흔;20180620;시/에세이;\13,800
8;9788998274795;돌이킬 수 없는 약속;야쿠마루 가쿠;북플라자;20170202;소설;\15,000
9;9788972756194;나미야 잡화점의 기적(양장본 HardCover);히가시노 게이고;현대문학;20121219;소설;\14,800
10;9788971998557;역사의 역사;유시민;돌베개;20180625;역사/문화;\16,000
11;9788901219943;신경 끄기의 기술;마크 맨슨;갤리온;20171027;자기계발;\15,000
12;9791185952987;말 그릇(비울수록 사람을 더 채우는);김윤나;카시오페아;20170922;자기계발;\15,000
13;9788954637756;개인주의자 선언;문유석;문학동네;20150923;인문;\13,500
14;9788965132288;어떻게 살 것인가;유시민;생각의길;20130313;인문;\15,000
15;9788965236504;3층 서기실의 암호;태영호;기파랑;20180515;정치/사회;\20,000
16;9791160560510;열두 발자국;정재승;어크로스;20180702;인문;\16,800
17;9788997092772;말의 품격;이기주;황소북스;20190318;인문;\14,500
18;9788925563367;곰돌이 푸, 서두르지 않아도 괜찮아;곰돌이 푸 (원작);알에이치코리아;20180508;시/에세이;\13,800
19;9791161903538;연애의 행방;히가시노 게이고;소미미디어;20180131;소설;\13,800
20;9788934972464;사피엔스;유발 하라리;김영사;20151124;인문;\22,000
21;9791186757093;자존감 수업;윤홍균;심플라이프;20160901;인문;\14,000
22;9788901223032;하마터면 열심히 살 뻔했다;하완;웅진지식하우스;20180423;시/에세이;\15,000
23;9788965421832;해커스 토익 기출 보카(TOEIC VOCA);David Cho;해커스어학연구소;20180810;외국어;\12,900
24;9788952775184;앨리스 죽이기;고바야시 야스미;검은숲;20151221;소설;\13,500
25;9788970656250;만만하게 보이지 않는 대화법;나이토 요시히토;홍익출판사;20180314;자기계발;\13,800
26;9788932919126;고양이. 1(양장본 HardCover);베르나르 베르베르;열린책들;20180612;소설;\12,800
27;9788968331503;나, 있는 그대로 참 좋다(몽글몽글 에디션);조유미;허밍버드;20170922;시/에세이;\13,800
28;9788990982575;가면산장 살인사건(양장본 HardCover);히가시노 게이고;재인;20140926;소설;\14,800
29;9788994120966;지적 대화를 위한 넓고 얕은 지식;채사장;한빛비즈;20170117;인문;\16,000
30;9788932473802;어디서 살 것인가;유현준;을유문화사;20180530;인문;\16,000
31;9788965422389;해커스 토익 RC 리딩(Hackers TOEIC Reading)(개정판);David Cho;해커스어학연구소;20181224;외국어;\18,800
