순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9,78893E+12;나무;베르나르 베르베르;열린책들;20030630;소설;\8,800
2;9,78899E+12;톨스토이 단편선;L.N.톨스토이;인디북;20030307;소설;\8,500
3;9,78897E+12;파페포포 메모리즈;심승현;홍익출판사;20021023;만화;\7,500
4;9,78897E+12;야생초 편지;황대권;도솔;20021001;시/에세이;\8,500
5;9,78898E+12;화;틱낫한;명진출판사;20110923;시/에세이;\8,900
6;9,78899E+12;한국의 부자들;한상복;위즈덤하우스;20030205;경제/경영;\11,000
7;9,78895E+12;설득의 심리학. 1;로버트 치알디니;21세기북스;20020930;자기계발;\12,000
8;9,78894E+12;지상에 숟가락 하나;현기영;실천문학사;19990315;소설;\8,000
9;9,78897E+12;내 생애의 아이들;가브리엘 루아;현대문학;20030708;소설;\12,000
10;9,78895E+12;칭찬은 고래도 춤추게 한다;켄 블랜차드;21세기북스;20021228;자기계발;\10,000
11;9,78898E+12;모리와 함께한 화요일(양장본 HardCover);미치 앨봄;세종서적;20020320;시/에세이;\8,500
12;9,78898E+12;해리포터와 불사조기사단 제5권 1;조앤 K. 롤링;문학수첩;20070228;소설;\8,500
13;9,78895E+12;달님은 알지요(일공일삼 27);김향이;비룡소;19941001;어린이(초등);\5,000
14;9,78897E+12;냉정과 열정사이(ROSSO);에쿠니 가오리;소담출판사;20001120;소설;\12,000
15;9,78897E+12;아홉살 인생(양장본 HardCover);위기철;청년사;20010126;소설;\8,000
16;9,78894E+12;포엠툰(POEM TOON);정헌재;청하;20021230;만화;\9,000
17;9,78898E+12;이익훈 EYE OF THE TOEIC;이익훈;넥서스;20011105;외국어;\18,500
18;9,78897E+12;토마토:토익점수마구올려주는토익(READING);오혜정;능률교육;20020107;외국어;\17,000
19;9,78896E+12;바보들은 항상 결심만 한다;팻 맥라건;예문;20021125;자기계발;\10,000
20;9,78897E+12;가방 들어 주는 아이(2판);고정욱;사계절;20030505;어린이(초등);\6,000
21;9,78897E+12;고기잡이는 갈대를 꺾지 않는다;김주영;문이당;20010416;소설;\8,000
22;9,78898E+12;공부기술;조승연;중앙 M&B;20021127;중/고등참고서;\8,000
23;9,78897E+12;나의 라임 오렌지나무;J.M.바스콘셀로스;동녘;20030905;소설;\7,000
24;9,78899E+12;메모의 기술;사카토 켄지;해바라기;20030527;자기계발;\7,800
25;9,78894E+12;한시 이야기(정민 선생님이 들려주는)(진경문고);정민;보림;20020702;어린이(초등);\13,000
26;9,789E+12;창가의 토토;구로야나기 테츠코;프로메테우스출판사;20000601;소설;\7,500
27;9,78893E+12;혼자만 잘 살믄 무슨 재민겨(개정증보판)(고집쟁이 농사꾼의 세상사는 이야기 1);전우익;현암사;20111110;시/에세이;\8,500
28;9,78899E+12;물은 답을 알고 있다;에모토 마사루;나무심는사람;20020820;과학;\8,000
29;9,78898E+12;폰더씨의 위대한 하루;앤디 앤드루스;세종서적;20030725;시/에세이;\9,500
30;9,7889E+12;살아있는 역사 1;힐러리 로댐 클린턴;웅진닷컴;20030619;시/에세이;\12,000
31;9,78893E+12;마당깊은 집(문학과지성 소설 명작선 15);김원일;문학과지성사;19910201;소설;\11,000
32;9,78893E+12;단순하게 살아라;베르너 티키 퀴스텐마허;김영사;20020917;자기계발;\12,800
33;9,78897E+12;해변의 카프카(상);무라카미 하루키;문학사상사;20030725;소설;\9,000
34;9,78899E+12;아침형 인간(인생을 두배로 사는);사이쇼 히로시;한스미디어;20031006;자기계발;\10,000
35;9,78899E+12;화성에서 온 남자 금성에서 온 여자;존 그레이;친구;20021210;자기계발;\10,000
36;9,78896E+12;완두콩;정헌재;바다출판사;20030702;만화;\9,000
37;9,78898E+12;이익훈 EAR OF THE TOEIC;이익훈;넥서스;20010707;외국어;\21,500
38;9,78899E+12;그리스 로마 신화 14(트로이)(만화로 보는);토머스 볼핀치;가나출판사;20030101;어린이(초등);\8,500
39;9,78895E+12;열두살에 부자가 된 키라;보도 섀퍼;을파소;20010810;어린이(초등);\12,000
40;9,78898E+12;누가 내 치즈를 옮겼을까;스펜서 존슨;진명출판사;20000315;자기계발;\7,000
41;9,78893E+12;삼국유사;일연;을유문화사;20021115;역사/문화;\9,000
42;9,78896E+12;지선아 사랑해;이지선;이레;20030507;시/에세이;\9,000
43;9,78895E+12;30부터 준비하는 당당한 내인생;송양민;21세기북스;20021216;경제/경영;\12,000
44;9,789E+12;난장이가 쏘아 올린 작은 공;조세희;이성과힘;20000710;소설;\11,000
45;9,78899E+12;내 영혼이 따뜻했던 날들(2판);포리스터 카터;아름드리;19980815;소설;\6,500
46;9,78898E+12;이보영의 120분 영어회화(TAPE3개포함);이보영;넥서스;20030115;외국어;\15,000
47;9,78897E+12;곽재구의 포구기행;곽재구;열림원;20131204;여행;\13,000
48;9,78899E+12;운명;임레 케르테스;다른우리;20021205;소설;\9,500
49;9,78899E+12;강아지똥(민들레그림책 1)(양장본 HardCover);권정생;길벗어린이;20140418;유아(0~7세);\12,000
50;9,78899E+12;그 놈은 멋있었다 1;귀여니;황매;20030315;소설;\9,000
