순위;ISBN;도서명;저자명;출판사명;출간일;분야;정가
1;9,78893E+12;정의란 무엇인가;마이클 샌델;김영사;20101020;인문;\15,000
2;9,78896E+12;덕혜옹주;권비영;다산책방;20091214;소설;\11,800
3;9,78895E+12;1Q84. 1(양장본 HardCover);무라카미 하루키;문학동네;20090825;소설;\14,800
4;9,789E+12;아름다운 마무리(반양장);법정;문학의숲;20081115;시/에세이;\11,500
5;9,78895E+12;죽을 때 후회하는 스물다섯 가지;오츠 슈이치;21세기북스;20110701;시/에세이;\12,000
6;9,78896E+12;성균관 유생들의 나날. 1(개정판);정은궐;파란미디어;20090727;소설;\11,000
7;9,78893E+12;파라다이스. 1;베르나르 베르베르;열린책들;20100322;소설;\9,800
8;9,78895E+12;어디선가 나를 찾는 전화벨이 울리고;신경숙;문학동네;20100519;소설;\11,500
9;9,78899E+12;해커스 토익 READING(3판)(단어암기장1권, 해설집1권포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
10;9,78899E+12;해커스 토익 보카(무료 단어암기 TEST, 무료학습자료 제공);David Cho;해커스어학연구소;20060821;외국어;\12,900
11;9,78894E+12;엄마를 부탁해;신경숙;창비;20081110;소설;\13,000
12;9,78899E+12;해커스 토익 스타트 READING(초보토익 4주완성);David Cho;해커스어학연구소;20081125;외국어;\14,900
13;9,7889E+12;스무살에 알았더라면 좋았을 것들;티나 실리그;엘도라도;20100621;자기계발;\12,000
14;9,789E+12;일기일회(一期一會)(법정 스님 법문집 1);법정;문학의숲;20090527;시/에세이;\15,000
15;9,78899E+12;혼 창 통;이지훈;쌤앤파커스;20100201;경제/경영;\14,000
16;9,78895E+12;스눕(양장본 HardCover);샘 고슬링;한국경제신문사;20100510;자기계발;\16,000
17;9,789E+12;살아 있는 것은 다 행복하라;법정;조화로운삶;20060215;시/에세이;\9,800
18;9,78891E+12;무소유(2판)(범우문고 2);법정;범우사;20040501;소설;\3,900
19;9,78896E+12;규장각 각신들의 나날. 1;정은궐;파란미디어;20090720;소설;\11,000
20;9,78896E+12;삼성을 생각한다;김용철;사회평론;20100222;경제/경영;\22,000
21;9,78899E+12;해커스 토익 LISTENING(개정판 3판)(CD1장, 해설집포함);David Cho;해커스어학연구소;20081101;외국어;\18,800
22;9,78899E+12;한 사람은 모두를 모두는 한 사람을(법정스님 법문집 2);법정;문학의숲;20091115;시/에세이;\15,000
23;9,78898E+12;빅 픽처;더글라스 케네디;밝은세상;20100610;소설;\12,000
24;9,789E+12;매일 읽는 긍정의 한 줄(양장본 HardCover);린다 피콘;책이있는풍경;20081228;시/에세이;\10,000
25;9,78897E+12;지성에서 영성으로;이어령;열림원;20100513;종교;\17,000
26;9,78896E+12;그들이 말하지 않는 23가지;장하준;부키;20101108;경제/경영;\14,800
27;9,78897E+12;그건 사랑이었네;한비야;푸른숲;20090706;시/에세이;\12,000
28;9,78897E+12;운명이다;노무현재단 (엮음);돌베개;20100426;정치/사회;\15,000
29;9,78899E+12;해커스 토익 스타트 LISTENING(CD1장포함);David Cho;해커스어학연구소;20081010;외국어;\12,900
30;9,78895E+12;시크릿 두 번째 이야기(양장본 HardCover);폴 해링턴;살림;20100125;자기계발;\12,000
31;9,78897E+12;아불류 시불류;이외수;해냄출판사;20100503;시/에세이;\14,500
32;9,78895E+12;시크릿(양장본 HardCover);론다 번;살림Biz;20070618;자기계발;\13,800
33;9,78895E+12;브리다(양장본 HardCover);파울로 코엘료;문학동네;20101021;소설;\12,000
34;9,7889E+12;넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover);리처드 탈러;리더스북;20090422;경제/경영;\15,500
35;9,78897E+12;못 가본 길이 더 아름답다(양장본 HardCover);박완서;현대문학;20100802;시/에세이;\12,000
36;9,78898E+12;당신 없는 나는;기욤 뮈소;밝은세상;20091217;소설;\11,000
37;9,78895E+12;생각 버리기 연습;코이케 류노스케;21세기북스;20100910;자기계발;\12,000
38;9,789E+12;맑고 향기롭게(양장본 HardCover);법정;조화로운삶;20060527;시/에세이;\12,000
39;9,78899E+12;내가 사랑한 책들(법정 스님의);문학의숲 편집부;문학의숲;20100303;시/에세이;\18,500
40;9,78894E+12;강남몽(양장본 HardCover);황석영;창비;20100629;소설;\12,000
